filename,width,height,class,xmin,ymin,xmax,ymax
22_13_22_01_16-03-2020_1_jpg.rf.26fec9909aa2a19ac406615499a6b517.jpg,640,640,Stones,98,52,255,228
22_13_22_01_16-03-2020_1_jpg.rf.26fec9909aa2a19ac406615499a6b517.jpg,640,640,Stones,38,240,149,399
22_13_22_01_16-03-2020_1_jpg.rf.26fec9909aa2a19ac406615499a6b517.jpg,640,640,Stones,116,223,318,541
22_13_22_01_16-03-2020_1_jpg.rf.26fec9909aa2a19ac406615499a6b517.jpg,640,640,Stones,48,427,200,589
22_13_22_01_16-03-2020_1_jpg.rf.26fec9909aa2a19ac406615499a6b517.jpg,640,640,Stones,163,536,303,639
22_13_22_01_16-03-2020_1_jpg.rf.26fec9909aa2a19ac406615499a6b517.jpg,640,640,Stones,273,305,426,566
22_13_22_01_16-03-2020_1_jpg.rf.26fec9909aa2a19ac406615499a6b517.jpg,640,640,Stones,369,478,503,639
22_13_22_01_16-03-2020_1_jpg.rf.26fec9909aa2a19ac406615499a6b517.jpg,640,640,Stones,366,264,578,490
22_13_22_01_16-03-2020_1_jpg.rf.26fec9909aa2a19ac406615499a6b517.jpg,640,640,Stones,485,432,640,628
22_13_22_01_16-03-2020_1_jpg.rf.26fec9909aa2a19ac406615499a6b517.jpg,640,640,Stones,258,70,471,247
22_13_22_01_16-03-2020_1_jpg.rf.26fec9909aa2a19ac406615499a6b517.jpg,640,640,Stones,429,60,573,282
22_13_22_01_16-03-2020_1_jpg.rf.26fec9909aa2a19ac406615499a6b517.jpg,640,640,Stones,281,558,376,639
4_11_40_48_16-03-2020_1_jpg.rf.08f0ae3ef25fbea663caa84e7ee6591d.jpg,640,640,Stones,0,0,116,212
4_11_40_48_16-03-2020_1_jpg.rf.08f0ae3ef25fbea663caa84e7ee6591d.jpg,640,640,Stones,1,184,191,403
4_11_40_48_16-03-2020_1_jpg.rf.08f0ae3ef25fbea663caa84e7ee6591d.jpg,640,640,Stones,63,90,199,190
